,,,,,,,,,,,
,,,,,,,,,,,
,,,,,64,128,256,512,1024,2048,4096
,,,,64,79,64,82,99,80,74,71
,,,,128,84,86,89,107,107,105,92
,,,,192,97,97,83,101,98,107,108
,,,,256,111,126,107,105,101,101,107
,,,,320,110,113,107,91,107,96,60
,,,,384,108,127,105,108,93,108,108
,,,,448,106,87,54,99,107,104,86
,,,,512,118,96,94,107,107,101,91
,,,,576,109,82,91,103,78,107,107
,,,,640,117,120,120,113,106,101,104
,,,,704,123,101,109,101,92,108,102
,,,,768,107,134,127,118,86,106,107
,,,,832,123,133,121,114,104,102,97
,,,,896,116,119,118,99,105,107,96
,,,,960,125,107,122,116,104,94,104
,,,,1024,385,395,122,93,108,108,107
,,,,1088,386,424,126,111,101,107,104
,,,,1152,414,399,391,133,103,106,96
,,,,1216,380,426,393,120,108,102,98
,,,,1280,368,426,330,99,108,98,107
,,,,1344,415,395,423,98,107,81,107
,,,,1408,421,415,427,439,115,105,101
,,,,1472,439,392,418,387,123,87,105
,,,,1536,356,419,375,383,90,82,87
,,,,1600,342,357,419,425,120,99,70
,,,,1664,398,399,406,434,110,98,92
,,,,1728,416,377,360,408,111,102,107
,,,,1792,379,421,385,379,116,106,91
,,,,1856,353,398,424,434,126,77,89
,,,,1920,353,371,434,348,381,88,91
,,,,1984,457,412,427,399,377,86,96
,,,,2048,407,418,416,430,377,78,92
,,,,2112,409,395,377,407,454,85,101
,,,,2176,373,408,408,431,409,96,106
,,,,2240,398,419,390,419,411,81,89
,,,,2304,419,453,448,422,350,126,102
,,,,2368,379,372,414,404,378,109,90
,,,,2432,409,394,415,405,411,102,108
,,,,2496,424,391,812,371,409,124,100
,,,,2560,363,404,428,409,386,93,83
,,,,2624,384,394,419,407,434,106,97
,,,,2688,430,416,388,394,407,123,78
,,,,2752,398,403,417,421,397,117,106
,,,,2816,424,446,396,390,351,121,105
,,,,2880,387,404,386,403,418,122,82
,,,,2944,363,397,397,408,405,382,103
,,,,3008,400,391,388,415,405,395,108
,,,,3072,410,458,395,390,370,412,97
,,,,3136,366,402,419,426,404,390,98
,,,,3200,412,416,380,395,363,371,89
,,,,3264,370,349,373,408,406,421,98
,,,,3328,397,423,393,377,353,414,81
,,,,3392,377,395,360,429,408,400,79
,,,,3456,457,349,424,402,388,394,101
,,,,3520,408,409,415,382,376,403,101
,,,,3584,438,408,415,404,384,419,96
,,,,3648,354,404,414,329,339,382,90
,,,,3712,419,425,413,392,370,412,93
,,,,3776,342,419,378,395,403,444,108
,,,,3840,388,442,379,363,379,392,91
,,,,3904,393,373,414,404,398,382,89
,,,,3968,421,436,416,428,390,410,86
,,,,4032,350,430,402,358,426,418,79
,,,,4096,359,407,417,374,359,407,91
